Date,Time,Reactor_A_Stage_1,Reactor_A_Stage_2,Reactor_B_Stage_1,Reactor_B_Stage_2,Reactor_C_Stage_1,Reactor_C_Stage_2,Temperature_Set_Point,Heater_A_Status,Heater_B_Status,Heater_C_Status,Temperature_A,Temperature_B,Temperature_C
01/01/2023,00:00:00,-0.040627193,0.12737538,-0.246616808,-0.050590586,0.398379305,0.197569383,5,0,0,0,5.03573504,3.440028433,7.50084762
01/01/2023,03:00:00,0.071585745,0.134404211,-0.190809779,0.189549979,0.033772026,0.228474052,5,0,0,0,5.755039724,4.142471917,2.420784229
01/01/2023,06:00:00,0.110132669,0.133607248,-0.073087687,0.289108559,0.21180291,0.156385331,5,0,0,0,6.15904382,5.766968265,3.861668568
01/01/2023,09:00:00,0.197734418,0.136622634,-0.034145576,0.026055669,0.052438367,0.091980631,5,0,0,0,4.025827796,2.509631211,9.41428477
01/01/2023,12:00:00,0.100870988,0.077938626,-0.14384354,-0.060268659,0.326393411,0.078970499,5,0,0,0,4.907918513,4.525550451,4.878244393
01/01/2023,15:00:00,0.077723164,0.157592957,-0.07254599,0.021522359,0.294935096,0.032252211,5,0,0,0,5.647448486,5.929343133,11.15993122
01/01/2023,18:00:00,0.344496378,0.081673002,-0.04202933,0.234480561,0.035768054,-0.011778918,5,0,0,0,4.160053099,4.614803876,13.57579506
01/01/2023,21:00:00,0.070404816,0.161084827,-0.083024897,0.238099366,0.241957987,0.000553286,5,0,0,0,4.20977292,4.480303414,9.329499169
02/01/2023,00:00:00,0.273092981,0.112329724,-0.095210315,0.100358481,-0.110239475,0.245951368,5,0,0,0,4.331293724,5.12926979,7.302250941
02/01/2023,03:00:00,0.480182,0.084714968,-0.109862883,0.05207045,0.08559797,0.225491407,5,0,0,0,5.419754086,4.047265485,2.239681477
02/01/2023,06:00:00,-0.081639983,0.10106899,-0.187113151,0.247923969,0.16313595,0.140007249,5,0,0,0,5.133952693,3.855261865,8.714627364
02/01/2023,09:00:00,0.121136337,0.039771646,-0.029112256,0.106401572,-0.088007042,0.259966702,5,0,0,0,6.110739273,5.425114372,11.77426391
02/01/2023,12:00:00,0.038760426,0.105802701,-0.071479201,0.068417518,0.06523372,0.030690181,5,0,0,0,3.992831718,5.571578298,1.035080326
02/01/2023,15:00:00,0.133352979,0.072747002,-0.184998669,0.156430974,0.094953063,0.195375762,5,0,0,0,4.994636899,4.799251783,3.741734098
02/01/2023,18:00:00,0.057300589,0.066695888,-0.047555123,-0.022211418,0.093763832,-0.071570751,5,0,0,0,5.999404377,5.688980973,6.700638852
02/01/2023,21:00:00,-0.002232763,0.104562343,-0.020356612,0.102757877,0.071181589,0.184127896,5,0,0,0,5.700053178,4.833509355,8.261095747
03/01/2023,00:00:00,0.206163528,0.135520228,0.092577037,0.008289086,0.184782587,0.023196148,5,0,0,0,4.342232318,4.065824776,8.450901998
03/01/2023,03:00:00,-0.023408865,0.082880702,-0.244940157,0.188639816,0.027958262,0.097397593,5,0,0,0,5.162911686,4.797697976,5.989448315
03/01/2023,06:00:00,0.228413489,0.045381516,-0.097120483,0.038906125,0.158246273,0.048209356,5,0,0,0,6.669262665,5.576931703,3.962579802
03/01/2023,09:00:00,0.151490226,0.132429098,0.011900119,0.086324719,0.149448451,0.077657336,5,0,0,0,4.044244348,6.495639995,2.577569751
03/01/2023,12:00:00,0.251331634,0.103235641,-0.168510763,0.038898702,0.050270455,0.075513259,5,0,0,0,4.993842551,5.169244728,3.621804102
03/01/2023,15:00:00,0.136968666,0.119813271,-0.27684036,0.022713638,0.113968365,0.009102986,5,0,0,0,5.114778272,5.213122779,4.135413153
03/01/2023,18:00:00,0.286249898,0.071990362,-0.148174817,0.278582811,0.11483408,0.310981108,5,0,0,0,4.763028858,6.079020732,0.540185322
03/01/2023,21:00:00,0.139786167,0.061747552,-0.033082524,0.158110566,0.101206236,0.12233483,5,0,0,0,5.402313067,3.646310414,6.345465102
04/01/2023,00:00:00,0.081359155,0.089455651,0.055591832,0.089491075,-0.035027759,0.045851819,5,0,0,0,4.535024234,4.743084771,10.67289938
04/01/2023,03:00:00,0.03945953,0.090364868,-0.041843781,0.188968742,-0.055668294,0.111071186,5,0,0,0,5.191493142,4.170776355,-1.388362162
04/01/2023,06:00:00,0.202518768,0.068179092,-0.182094491,0.366349956,0.089301317,-0.014070184,5,0,0,0,3.222200837,6.235115446,-0.087678442
04/01/2023,09:00:00,0.008456823,0.111537928,-0.005965105,0.084263489,0.057011218,0.123846133,5,0,0,0,5.47091041,5.444246954,9.068534675
04/01/2023,12:00:00,0.259516964,0.09238055,-0.018213673,0.077659194,-0.062908744,0.217639288,5,0,0,0,3.535278637,4.907964828,3.191274937
04/01/2023,15:00:00,0.213916475,0.079136785,-0.101626319,0.218465881,0.130433837,0.183706458,5,0,0,0,6.160130763,4.20743497,8.248932227
04/01/2023,18:00:00,-0.062069284,0.138660317,-0.120358372,0.008370693,0.052681646,0.010593134,5,0,0,0,5.114734458,5.316486548,3.432953446
04/01/2023,21:00:00,0.112443339,0.126396624,-0.128346801,0.124599019,0.266597532,0.09608347,5,0,0,0,4.436520067,4.445634243,3.459702869
05/01/2023,00:00:00,0.151732149,0.109205114,-0.415989528,0.115439567,0.051548932,0.057686247,5,0,0,0,4.464549842,5.139500057,0.740993018
05/01/2023,03:00:00,0.122735407,0.048616378,-0.063604936,-0.035006947,-0.012979376,0.196671806,5,0,0,0,2.946498683,4.062747064,4.307778125
