Date,Time,Reactor_A_Stage_1,Reactor_A_Stage_2,Reactor_B_Stage_1,Reactor_B_Stage_2,Reactor_C_Stage_1,Reactor_C_Stage_2,Temperature_Set_Point,Heater_A_Status,Heater_B_Status,Heater_C_Status,Temperature_A,Temperature_B,Temperature_C
16/01/2023,00:00:00,0.957349831,0.548960247,1.326997271,1.008500378,0.815819864,0.347462139,25,1,1,1,24.88409605,24.51568665,25.20036905
16/01/2023,00:15:00,1.034843531,0.585310842,1.327108025,0.897156913,0.817360341,0.392704237,25,1,1,1,24.85456004,25.09825361,24.70756647
16/01/2023,00:30:00,0.952298909,0.526378936,1.315742341,0.83450778,0.853259686,0.373887412,25,1,1,1,24.19604899,24.41276007,24.98915101
16/01/2023,00:45:00,0.991534112,0.594759499,1.357043886,0.901826498,0.728350674,0.379824405,25,1,1,1,24.90482977,24.52997585,24.83525255
16/01/2023,01:00:00,0.999042762,0.568635421,1.29042799,0.945888458,0.824746636,0.435709799,25,1,1,1,25.40008936,24.04757301,25.03372665
16/01/2023,01:15:00,0.975199124,0.604021666,1.339019797,0.8898665,0.804565845,0.40346631,25,1,1,1,24.79823768,25.30463387,24.97089599
16/01/2023,01:30:00,0.995628051,0.591978911,1.30109947,0.913397864,0.79823451,0.432097533,25,1,1,1,25.13431851,25.18949262,24.84114402
16/01/2023,01:45:00,0.977876928,0.585668502,1.281752369,0.918166775,0.77551732,0.323968023,25,1,1,1,24.8673304,24.36344069,25.09026138
16/01/2023,02:00:00,0.994489272,0.657325952,1.354884442,0.88231096,0.723098863,0.301215648,25,1,1,1,24.73383549,24.66709025,24.97454231
16/01/2023,02:15:00,0.992388724,0.608473995,1.262176281,0.892563545,0.655082967,0.345728086,25,1,1,1,25.58844825,25.0388029,24.96802695
16/01/2023,02:30:00,0.962896678,0.665940339,1.298378299,0.884620432,0.659902935,0.368470943,25,1,1,1,25.16545967,24.99422226,25.0629591
16/01/2023,02:45:00,1.028496191,0.630975459,1.298377096,0.863860249,0.775690729,0.37185692,25,1,1,1,25.24517733,24.87044888,25.07555818
16/01/2023,03:00:00,0.97169169,0.665527369,1.267191053,0.943588884,0.688644361,0.39781066,25,1,1,1,25.20589706,23.65680085,24.71297157
16/01/2023,03:15:00,0.940975176,0.648206382,1.274595114,0.931252379,0.877541489,0.343902521,25,1,1,1,25.20022173,24.12660049,24.85817047
16/01/2023,03:30:00,0.982244985,0.760975665,1.324421795,0.881373082,0.73156441,0.393427818,25,1,1,1,25.02847717,24.38060274,24.85770379
16/01/2023,03:45:00,0.987478088,0.587000457,1.287705706,0.918854341,0.772391895,0.421351824,25,1,1,1,24.85431874,24.78689505,24.61112746
16/01/2023,04:00:00,1.005124448,0.622612971,1.292709067,0.935528926,0.758631699,0.459290352,25,1,1,1,24.97837837,24.70982139,24.83748499
16/01/2023,04:15:00,1.016320753,0.65770752,1.312009043,0.9360383,0.746383886,0.43168386,25,1,1,1,25.00363181,24.81217175,25.22923906
16/01/2023,04:30:00,1.000837056,0.673277943,1.335316812,0.985390282,0.732033836,0.472396953,25,1,1,1,25.23184551,24.4739258,24.80425483
